keyword,volume,traffic_potential,keyword_difficulty,opportunity_score,parent_topic,gap_type,your_page,page_chars,products_shown,blog_links_in,has_faq,competitors,top_competitor_url
cannabis vaporizer,1000,35000,0,35000,dry herb vaporizer,Content gap (no page),,,,,,1,https://www.smokecartel.com/products/cloudious-9-atomic9-dry-herb-vaporizer
dab pen for wax,4400,28000,0,28000,dab pen,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/15-best-dab-pens-and-wax-vaporizers
grav labs,2200,49000,1,24500,bongs,Content gap (no page),,,,,,1,https://dankgeek.com/collections/grav
grav bong,1700,65000,2,21667,bongs,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/grav-labs
nectar collector,25000,18000,0,18000,nectar collector,Optimize existing,/collections/nectar-collectors-straws,6912,29,15,1,1,https://dankgeek.com/collections/nectar-collector
pulsar 510 battery,1000,17000,0,17000,cart battery,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections
puff o,2200,43000,2,14333,puff co,Content gap (no page),,,,,,2,https://inhalco.com/collections/puffco
e rig,4100,13000,0,13000,electric dab rig,Content gap (no page),,,,,,1,https://www.smokecartel.com/Dab
dab rig,45000,31000,3,7750,dab rig,Optimize existing,/collections/dab-rigs-oil-rigs,6758,28,28,1,2,https://dankgeek.com/Water
king palms wraps,3400,15000,1,7500,king palm,Content gap (no page),,,,,,2,https://smokea.com/collections/king-palm
puffco peak pro,28000,22000,2,7333,puffco peak pro,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/insights/puffco-new-peak-pro-review-3dxl
bong bowls,1000,6900,0,6900,bong bowl,Optimize existing,/collections/bong-bowls,4544,17,14,1,1,https://www.smokecartel.com/blogs/guides/14mm-bong-bowl-guide
pulsar vapes,900,6900,0,6900,pulsar vape,Optimize existing,/collections/buy-pulsar-vaporizers-premium-vapes,3777,23,1,0,1,https://smokea.com/collections/pulsar
hamilton devices,7600,6800,0,6800,hamilton devices,Content gap (no page),,,,,,1,https://dankgeek.com/Brands
e nail,3400,5600,0,5600,enails,Content gap (no page),,,,,,1,https://dankgeek.com/products/high-five-micro-enail-hybrid-nail-complete-kit
nectar collector dab,1600,5600,0,5600,nectar collector,Content gap (no page),,,,,,1,https://inhalco.com/collections/nectar-collectors
terp slurper,9300,5100,0,5100,terp slurper,Optimize existing,/collections/terp-slurpers,5123,14,6,1,1,https://inhalco.com/collections/terp-slurper
lookah dragon egg,9400,5000,0,5000,lookah dragon egg,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/insights/lookah-dragon-egg-erig-review
bubbler pipe,5300,15000,2,5000,bubbler,Content gap (no page),,,,,,1,https://smokea.com/collections/bubblers
grinder weed,3400,4700,0,4700,weed grinder,Optimize existing,/collections/herb-grinders,8202,30,32,1,1,https://www.smokecartel.com/Collections
cute bongs,5100,4200,0,4200,bongs,Optimize existing,/collections/cute-and-girly-bongs-smoking-accessories,5167,25,1,1,1,https://dankgeek.com/collections/cute-bongs
gravity bong glass,1400,4100,0,4100,glass gravity bong,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/gravity-bongs-for-hookah
beaker bong,4200,3800,0,3800,beaker bong,Content gap (no page),,,,,,1,https://www.smokecartel.com/Bongs
prism water pipes,2200,3500,0,3500,prism water pipes,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/prism-water-pipes
dab banger,2700,3200,0,3200,quartz banger,Content gap (no page),,,,,,1,https://inhalco.com/collections/quartz-banger
ash catcher,4800,5900,1,2950,ash catcher,Optimize existing,/collections/ash-catchers,4037,11,7,1,3,https://www.smokecartel.com/collections/ashcatcher
puffco peak glass,3300,2900,0,2900,puffco peak glass,Content gap (no page),,,,,,1,https://inhalco.com/Guides
cannabis grinder,1500,11000,3,2750,weed grinder,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/grinders-sale
dab rigs under $50,600,2500,0,2500,dab rigs under $50,Optimize existing,/collections/dab-rigs-under-50,4852,19,0,1,2,https://www.smokecartel.com/collections/dab-rigs-under-50
gas mask bong,2500,2400,0,2400,gas mask bong,Optimize existing,/collections/gas-mask-bongs,3597,5,0,1,1,https://inhalco.com/products/silicone-gas-mask-bong
downstem for bong,1200,2400,0,2400,bong stem,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/downstems-finding-the-right-fit
weed gas mask,900,2400,0,2400,gas mask bong,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/gas-mask-bongs
pulsar vape battery,1700,9300,3,2325,pulsar vape battery,Content gap (no page),,,,,,1,https://smokea.com/products
wulf battery,900,2200,0,2200,wulf mods,Content gap (no page),,,,,,1,https://dankgeek.com/products/wulf-mods-pro-510-voltage-battery
electric dab rig,11000,18000,8,2000,electric dab rig,Optimize existing,/collections/electric-dab-rigs,3861,8,49,1,3,https://www.smokecartel.com/collections/electric-rigs
bong parts,1100,1900,0,1900,bong accessories,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/bong-adapters?filter.p.vendor=GRAV
glass pipe,6400,65000,36,1757,bongs,Content gap (no page),,,,,,1,https://dankgeek.com/Hand
portable bong,1000,1700,0,1700,silicone bong,Content gap (no page),,,,,,1,https://dankgeek.com/collections
glass bubbler,1400,15000,8,1667,bubbler,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/insights/what-is-a-glass-bubbler
dab rig electric,2700,18000,10,1636,electric dab rig,Optimize existing,/collections/electric-dab-rigs,3861,8,49,1,1,https://dankgeek.com/blogs/dnkgk/electric-dab-rig-review
pink bong,2300,1400,0,1400,pink bong,Optimize existing,/collections/pink-bongs,5657,26,0,1,1,https://inhalco.com/blogs/guides/top-10-romantic-pink-bongs
pink bongs,600,1400,0,1400,pink bong,Optimize existing,/collections/pink-bongs,5657,26,0,1,1,https://inhalco.com/collections/pink-bong
bear quartz,2300,1300,0,1300,bear quartz,Content gap (no page),,,,,,1,https://www.smokecartel.com/products/bear-quartz-v2-flat-22mm-banger
recycler dab rig,900,1300,0,1300,recycler dab rig,Optimize existing,/collections/recycler-bongs-dab-rigs,6754,28,3,1,2,https://dankgeek.com/collections/recycler-rigs
weed tray,2300,3700,2,1233,rolling tray,Content gap (no page),,,,,,2,https://dankgeek.com/collections/rolling-trays
mav glass,1400,1200,0,1200,mav glass,Content gap (no page),,,,,,1,https://dankgeek.com/collections/mav-glass
types of bongs,1200,1100,0,1100,types of bongs,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/how-to-choose-the-perfect-bong-or-water-pipe
bong bowl,2000,6100,5,1017,bong bowl,Optimize existing,/collections/bong-bowls,4544,17,14,1,1,https://www.smokecartel.com/collections/bowl
heart bong,1900,1000,0,1000,heart bong,Content gap (no page),,,,,,1,https://inhalco.com/collections/heart-bong
electric dab rig under $100,1900,1000,0,1000,electric dab rig under $100,Content gap (no page),,,,,,1,https://inhalco.com/collections/dab-rigs-under-100
dab torch,1200,1000,0,1000,torch for dabs,Content gap (no page),,,,,,1,https://dankgeek.com/collections/dab-torches
best glass bongs,1200,58000,61,935,grav,Content gap (no page),,,,,,1,https://dankgeek.com/pages/brands
vape pod battery,5100,900,0,900,vape pod battery,Content gap (no page),,,,,,1,https://dankgeek.com/products/solpod-express-kit
dry weed vaporizer,450,38000,45,826,dry herb vaporizer,Optimize existing,/collections/dry-herb-vaporizers,3650,5,32,0,1,https://dankgeek.com/Vaporizers
ash catcher bong,2000,2400,2,800,ash catcher bong,Content gap (no page),,,,,,1,https://dankgeek.com/collections/ash-catchers
yocan vape,5500,25000,34,714,yocan,Content gap (no page),,,,,,1,https://inhalco.com/collections/yocan
chillum pipe,2600,1400,1,700,chillum pipe,Content gap (no page),,,,,,1,https://smokea.com/collections/chillums
yocan dry herb vaporizer,900,700,0,700,yocan dry herb vaporizer,Optimize existing,/collections/dry-herb-vaporizers,3650,5,32,0,1,https://www.smokecartel.com/collections/vapes-under-50?filter.p.vendor=Yocan
roach clips,1400,600,0,600,roach clips for weed,Content gap (no page),,,,,,1,https://dankgeek.com/collections/joint-cigarette-holders-clips
glass nectar collector,1300,600,0,600,glass nectar collector,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/nectar-collectors-dab-straws?filter.p.vendor=Ooze
best rolling papers,1200,600,0,600,best rolling papers,Optimize existing,/collections/rolling-papers-wraps,6724,29,18,1,1,https://smokea.com/collections/roll-your-own
best percolator bongs,1100,1800,2,600,best percolator bongs,Optimize existing,/collections/percolator-bongs,6675,23,8,0,1,https://smokea.com/collections/percolator-bongs
elements rolling papers,1100,600,0,600,elements rolling papers,Content gap (no page),,,,,,1,https://www.smokecartel.com/products/elements-300-ultra-thin-1-1-4-rice-rolling-papers
juice box bong,900,600,0,600,juice box bong,Content gap (no page),,,,,,1,https://inhalco.com/collections/juicebox-bongs
wax rig,1500,31000,51,596,dab rig,Content gap (no page),,,,,,1,https://dankgeek.com/collections/dab-rigs
dry herb vaporizer,26000,18000,30,581,dry herb vaporizer,Optimize existing,/collections/dry-herb-vaporizers,3650,5,32,0,2,https://dankgeek.com/collections/dry-herb-flower-vaporizers
silicone dab rigs,150,1600,2,533,silicone dab rig,Optimize existing,/collections/silicone-dab-rigs,3474,6,6,1,1,https://smokea.com/collections/dab-rigs
water bong,5400,37000,69,529,bong,Optimize existing,/collections/bongs-water-pipes,7664,28,55,1,1,https://dankgeek.com/collections/bongs-water-pipes
weed stash box,1300,1000,1,500,weed stash box,Content gap (no page),,,,,,1,https://smokea.com/collections/storage
dab nail,2200,1400,2,467,dab nail,Optimize existing,/collections/electric-dab-nails,4178,11,7,1,1,https://smokea.com/collections/bangers-nails
bong cleaning kit,2400,450,0,450,bong cleaning kit,Content gap (no page),,,,,,1,https://www.smokecartel.com/blogs/guides/bong-cleaning-kit-for-beginners
glow in the dark bong,600,450,0,450,glow in the dark bong,Optimize existing,/collections/glow-in-the-dark-bongs,5472,28,0,1,1,https://www.smokecartel.com/collections/glow-in-the-dark
sherlock holmes pipe,1400,400,0,400,sherlock holmes pipe,Content gap (no page),,,,,,1,https://www.smokecartel.com/collections/sherlock
bong with percolator,1100,800,1,400,best percolator bongs,Optimize existing,/collections/percolator-bongs,6675,23,8,0,1,https://dankgeek.com/collections/percolator-bongs
spongebob bong,1000,400,0,400,spongebob bong,Content gap (no page),,,,,,1,https://inhalco.com/blogs/guides/8-best-spongebob-bongs
